LATITUDE,LONGITUDE
41.4251,-121.8016
40.3057,-123.8652
40.3174,-123.8686
40.4842,-123.7554
40.4847,-123.7389
40.4797,-123.7623
41.2234,-122.142
42.7327,-113.8864
41.1602,-123.8992
41.1552,-123.9229
42.3197,-119.7176
42.2184,-120.5306
42.5626,-118.8099
42.5607,-118.8221
42.5714,-118.8126
42.5695,-118.8247
42.6586,-118.7302
42.5889,-121.2649
42.5984,-121.2681
42.6077,-121.2721
42.605,-121.287
43.7892,-116.1091
43.7981,-116.1115
43.7515,-117.1363
43.7498,-117.1484
42.843,-123.0536
42.8393,-123.0719
42.8568,-123.0957
42.8533,-123.1132
43.7388,-118.9617
43.7369,-118.9739
44.2439,-116.1642
44.2423,-116.177
43.5378,-120.9007
43.9641,-118.4641
43.3137,-122.3523
43.4717,-121.8986
43.4689,-121.9136
43.0063,-124.2786
43.0095,-124.266
43.0054,-124.285
43.174,-124.0438
43.7668,-121.6616
43.8091,-121.5388
43.8082,-121.5996
44.4531,-117.8661
44.4514,-117.8783
43.5135,-123.531
43.5098,-123.5491
44.2154,-120.2771
44.2329,-120.2285
44.2308,-120.2412
44.5955,-117.9646
44.5937,-117.9768
43.7285,-123.2872
43.6179,-123.8366
43.6142,-123.855
44.289,-120.2793
44.2868,-120.2921
43.7456,-123.3118
43.7694,-123.3023
44.38,-120.0718
44.897,-116.6725
46.5779,-116.4417
44.8053,-118.4255
44.8554,-118.4728
44.8517,-118.4973
44.8499,-118.5096
45.0459,-118.1324
45.6114,-116.3552
45.6204,-116.3572
44.6409,-122.5746
44.6379,-122.5904
45.6277,-116.373
44.6506,-122.5783
44.6476,-122.5941
45.6383,-116.3626
44.78,-122.3906
44.7714,-122.4373
44.8098,-122.6221
44.9957,-121.6611
44.9932,-121.6752
45.0042,-121.7241
45.0211,-121.6844
45.0136,-121.7273
45.0279,-121.6783
45.0253,-121.6924
45.2098,-121.1422
45.8513,-117.1314
