DEP_Code,Name,Street_Add,Town_City,Type,Zip Code,tons,Lat,Long,X_Coord,Y_Coord,Status,Score
R616,redacted,redacted,Boston,R,,18,42.35647525,71.0507624,237009.8797,900761.5191,T,95
F371,redacted,redacted,Ipswich,F,,,42.67470942,70.8426959,253878.4767,936221.4849,M,100
F372,redacted,redacted,Fall River,F,,,41.74802197,71.1186035,231723.1007,833153.3139,M,64
R2949,redacted,redacted,SOUTH YARMOUTH,R,,52.5,41.6667382,70.1851431,309499.9544,824898.3822,M,36
R170,redacted,redacted,Charlestown,R,,15,42.37261508,71.0612008,236140.7028,902549.7803,M,100
R3094,redacted,redacted,Plymouth,R,,60,41.960105,70.665725,269160.5285,856976.384,M,100
R1658,redacted,redacted,Dedham,R,,30,42.24800222,71.1725011,227026.9079,888667.2561,M,100
IH3,redacted,redacted,ANDOVER,IH,,12.483,42.6486385,71.1351784,229916.6088,933181.7549,M,100
W204,redacted,redacted,Duxbury,W,,,42.0131296,70.7174908,264815.2933,862824.9004,M,66
F373,redacted,redacted,Walpole,F,,,42.11379292,71.2430005,221253.8684,873740.3746,M,100
W205,redacted,redacted,Vineyard Haven,W,,,41.4485973,70.6133265,274094.724,800211.0782,M,63
F374,redacted,redacted,Walpole,F,,,42.13686832,71.2663327,219317.2726,876297.843,M,100
IH346,redacted,redacted,LAKEVILLE,IH,,25.2945,41.81201219,70.9056758,249383.8561,840361.7074,M,100
R617,redacted,redacted,Westwood,R,,18,42.21763579,71.1885928,225711.2528,885289.3876,M,100
R1126,redacted,redacted,Brockton,R,,22.5,42.06413393,71.0156662,240085.5866,868306.4765,M,100
R618,redacted,redacted,Taunton,R,,18,41.8842288,71.0763915,235158.9726,848297.9548,M,100
F375,redacted,redacted,Boston,F,,,42.36307044,71.0191119,239613.2051,901508.2966,M,71
R171,redacted,redacted,Springfield,R,,15,42.13203356,72.6001869,109043.0342,876320.9866,M,100
R1966,redacted,redacted,Ipswich,R,,33,42.67958121,70.8406235,254044.1657,936763.9688,M,100
W206,redacted,redacted,Boston,W,,,42.3245938,71.0687041,235549.6905,897212.6613,T,66
R619,redacted,redacted,BOSTON,R,,18,42.2836041,71.0556434,236649.9296,892665.3004,M,100
R1127,redacted,redacted,Framingham,R,,22.5,42.30531463,71.4035692,207950.7886,894985.8309,M,100
R172,redacted,redacted,Stoughton,R,,15,42.11993492,71.101291,232969.9878,874467.6159,M,100
W207,redacted,redacted,New Bedford,W,,,41.64299519,70.9233267,248044.1377,821579.712,M,60
F376,redacted,redacted,New Bedford,F,,,41.64299519,70.9233267,248044.1377,821579.712,M,93
R3745,redacted,redacted,Wayland,R,,150,42.36116289,71.3338113,213690.2866,901198.0818,M,100
R173,redacted,redacted,Shrewsbury,R,,15,42.24354762,71.7410691,180104.3101,888148.6951,M,100
F377,redacted,redacted,Sutton,F,,,42.17814257,71.7202522,181803.5852,880879.3081,M,100
R174,redacted,redacted,Lynn,R,,15,42.47697195,70.9353846,246426.4104,914202.2796,M,100
